 	TCGA-A6-2670-01A-02R-0821-07	TCGA-A6-2672-01A-01R-0826-07	TCGA-A6-2674-01A-02R-0821-07	TCGA-A6-2676-01A-01R-0826-07	TCGA-A6-2677-01A-01R-0821-07	TCGA-A6-2678-01A-01R-0821-07	TCGA-A6-2683-01A-01R-0821-07	TCGA-A6-3807-01A-01R-1022-07	TCGA-A6-3808-01A-01R-1022-07	TCGA-A6-3809-01A-01R-1022-07	TCGA-A6-3810-01A-01R-1022-07	TCGA-AA-3514-01A-02R-0821-07	TCGA-AA-3516-01A-02R-0826-07	TCGA-AA-3517-01A-01R-0821-07	TCGA-AA-3518-01A-02R-0826-07	TCGA-AA-3524-01A-02R-0821-07	TCGA-AA-3525-01A-02R-0826-07	TCGA-AA-3526-01A-02R-0821-07	TCGA-AA-3534-01A-01R-0821-07	TCGA-AA-3538-01A-01R-0821-07	TCGA-AA-3543-01A-01R-0826-07	TCGA-AA-3552-01A-01R-0821-07	TCGA-AA-3555-01A-01R-0821-07	TCGA-AA-3558-01A-01R-0821-07	TCGA-AA-3561-01A-01R-0821-07	TCGA-AA-3562-01A-02R-0821-07	TCGA-AA-3666-01A-02R-0905-07	TCGA-AA-3667-01A-01R-0905-07	TCGA-AA-3672-01A-01R-0905-07	TCGA-AA-3675-01A-02R-0905-07	TCGA-AA-3679-01A-02R-0905-07	TCGA-AA-3681-01A-01R-0905-07	TCGA-AA-3685-01A-02R-0905-07	TCGA-AA-3693-01A-01R-0905-07	TCGA-AA-3695-01A-01R-0905-07	TCGA-AA-3696-01A-01R-0905-07	TCGA-AA-3710-01A-01R-1022-07	TCGA-AA-3715-01A-01R-0905-07	TCGA-AA-3811-01A-01R-1022-07	TCGA-AA-3812-01A-01R-0905-07	TCGA-AA-3818-01A-01R-0905-07	TCGA-AA-3821-01A-01R-1022-07	TCGA-AA-3831-01A-01R-0905-07	TCGA-AA-3837-01A-01R-0905-07	TCGA-AA-3842-01A-01R-1022-07	TCGA-AA-3844-01A-01R-1022-07	TCGA-AA-3846-01A-01R-1022-07	TCGA-AA-3848-01A-01R-0905-07	TCGA-AA-3854-01A-01R-0905-07	TCGA-AA-3855-01A-01R-1022-07	TCGA-AA-3856-01A-01R-0905-07	TCGA-AA-3860-01A-02R-0905-07	TCGA-AA-3861-01A-01R-1022-07	TCGA-AA-3862-01A-01R-1022-07	TCGA-AA-3864-01A-01R-1022-07	TCGA-AA-3866-01A-01R-1022-07	TCGA-AA-3869-01A-01R-1022-07	TCGA-AA-3877-01A-01R-1022-07	TCGA-AA-3939-01A-01R-1022-07	TCGA-AA-3941-01A-01R-1022-07	TCGA-AA-3947-01A-01R-1022-07	TCGA-AA-3949-01A-01R-1022-07	TCGA-AA-3950-01A-02R-1022-07	TCGA-AA-3952-01A-01R-1022-07	TCGA-AA-3966-01A-01R-1113-07	TCGA-AA-3968-01A-01R-1022-07	TCGA-AA-3975-01A-01R-1022-07	TCGA-AA-3976-01A-01R-1022-07	TCGA-AA-3977-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3986-01A-02R-1022-07	TCGA-AA-3989-01A-01R-1022-07	TCGA-AA-3994-01A-01R-1113-07	TCGA-AA-A00D-01A-01R-A002-07	TCGA-AA-A00J-01A-02R-A002-07	TCGA-AA-A00L-01A-01R-A002-07	TCGA-AA-A00O-01A-02R-A00A-07	TCGA-AA-A00Q-01A-01R-A002-07	TCGA-AA-A00U-01A-01R-A002-07	TCGA-AA-A00W-01A-01R-A002-07	TCGA-AA-A010-01A-01R-A00A-07	TCGA-AA-A01D-01A-01R-A00A-07	TCGA-AA-A01F-01A-01R-A002-07	TCGA-AA-A01G-01A-01R-A002-07	TCGA-AA-A024-01A-02R-A00A-07	TCGA-AA-A029-01A-01R-A00A-07	TCGA-AA-A02E-01A-01R-A00A-07	TCGA-AA-A02F-01A-01R-A00A-07	TCGA-AA-A02H-01A-01R-A00A-07	TCGA-AA-A02J-01A-01R-A00A-07	TCGA-AY-4070-01A-01R-1113-07	TCGA-AY-4071-01A-01R-1113-07
C16orf46	-0.531739	0.865814	0.941081	-1.680260	-0.646963	0.283190	-0.141465	-2.586253	-0.947102	0.495053	0.461601	2.179737	-1.250958	-0.231600	1.690965	-0.147040	-0.061552	0.153099	0.411423	0.454168	0.641871	-0.342177	0.295270	-0.895995	1.599901	0.463460	1.256088	-0.821657	0.168896	-0.318017	-0.249255	-0.472269	0.257172	-0.438817	-0.816082	0.062035	2.049645	0.644659	1.195688	-0.491782	-0.179563	0.449522	0.259031	0.049026	-0.327310	0.625145	0.398414	-0.606077	-0.469481	-1.796413	0.272969	-0.885773	-0.503862	-3.066662	0.161462	0.194914	1.059092	0.334298	-0.366337	0.737581	0.596339	-1.688623	-0.100579	-0.433241	-1.221223	0.320359	0.696695	-1.235162	1.267239	0.466248	1.285823	-1.142239	-1.916283	-0.836524	0.934576	0.193056	-1.927433	-0.918296	-0.345894	0.987542	1.182679	-0.777054	0.337085	2.801387	-0.186997	1.045154	0.451380	0.625145	-0.922942	-0.271556	1.436357	-0.542827	
CXorf59	0.004841	-0.496683	0.679531	0.155136	-0.376611	-0.199362	-0.169957	-1.760297	0.151051	2.076286	-0.168323	2.419348	0.395279	-2.058434	0.338102	-0.963902	-0.784202	0.293994	-0.007411	2.173487	-0.918977	0.294811	3.563707	-0.509752	0.629705	0.334835	-0.168323	0.017911	0.015460	-0.091543	-0.430521	0.192709	-0.107062	0.265406	-0.125032	-0.099711	-0.902641	0.222114	-0.241837	0.489213	-0.262257	-0.106245	0.200877	-0.171591	-1.908140	0.277658	-0.648611	-0.289212	-0.565296	-0.104612	-0.675566	-0.150353	0.400997	-1.262039	-0.351290	-1.011277	0.890270	1.216996	-1.109295	-0.517920	0.751411	-0.420719	0.093058	-0.220600	2.269871	-2.207095	-0.331686	0.326667	0.099592	-0.236936	-0.459110	0.307880	3.255767	0.475327	-0.630641	0.389562	1.288875	-1.029247	-0.320251	-0.109513	0.375676	-0.730292	1.403230	-1.850963	0.387928	0.277658	-0.809524	-0.991673	1.068335	1.324815	-1.622255	-0.110583	
UNQ6975	-0.070872	-2.315921	-1.259920	-2.750417	1.557324	1.401017	0.341294	-0.057846	0.394327	1.082821	1.173070	0.555286	-0.710986	-0.156469	0.307800	0.072409	0.383162	0.936749	3.741897	-0.651440	-0.218805	-0.965915	1.172139	-0.361156	-2.480602	1.585236	-0.079246	-0.688656	0.723688	-0.588173	0.080783	-0.290446	0.843709	0.555286	0.430612	0.077061	-0.711916	0.539469	-0.062498	-0.288585	-0.634693	0.339433	-0.122044	0.268723	-0.186241	0.423169	0.945122	0.229646	0.221273	-1.039416	0.561798	0.002629	1.965768	0.120790	-0.104366	-0.456057	-0.624459	0.634369	0.025889	-0.162051	0.007281	0.200804	-0.448613	0.862317	-0.503507	-0.454196	1.427999	-0.749132	-1.144551	0.156145	-0.643997	0.291983	2.061599	-0.129487	-0.239274	0.077061	1.036301	-0.138791	-1.070119	-0.344409	-0.842172	-0.686795	0.411074	0.801841	0.358972	-0.879388	0.502253	-1.230147	-0.620737	-0.518393	0.401770	-3.608244	
TNFSF18	0.859933	1.446654	-2.217527	-0.167599	0.969879	0.850685	-1.579429	1.379864	0.479746	1.073660	-0.532373	2.346772	-1.185884	0.560921	-0.131636	1.048999	0.220808	-0.190205	1.670656	1.314102	2.221413	-0.425510	-1.446877	-0.696779	-1.458180	-0.370023	-1.208490	0.112917	0.521875	-0.128553	0.070788	-0.001139	0.561949	0.949328	-0.298096	0.373910	0.389323	0.150936	0.260882	-0.430648	-1.055387	1.530912	-1.193077	0.162238	0.597912	-0.461474	-1.113957	-0.374133	0.169431	1.574068	-0.134718	-0.392629	-1.693485	-0.036075	0.348222	0.418094	-2.875147	0.079008	-1.145810	0.194092	0.288625	-0.480997	-1.808569	-1.095461	0.034824	1.520636	1.372672	-1.964754	1.311020	0.318423	0.320478	-0.407015	0.725326	-0.316592	-0.031965	-1.496199	-0.090535	0.844520	-0.217949	-0.414207	-1.603062	0.845547	-1.108819	0.331781	0.045100	0.539343	-1.274252	1.204156	0.881511	0.167376	-0.167599	-0.238499	
C21orf74	0.653507	-0.198255	0.801596	-1.053992	0.104881	-0.108805	-0.556055	0.453735	2.090668	1.932640	0.008474	1.210084	-1.870968	1.217041	-0.319509	0.061150	-0.191298	-0.885032	0.727054	-0.023331	0.869180	-2.746583	1.269717	-0.544128	-0.755826	2.802292	-0.022337	-0.287705	-0.332430	-0.969512	0.332481	-0.398027	0.398077	0.604806	-0.406972	0.507405	-2.969214	-0.327461	-0.436788	-0.870123	1.003355	1.414825	-0.006435	-0.064080	0.988447	-0.121726	1.277668	-0.289693	-1.215002	-0.090915	1.211078	-0.290687	0.855266	-0.848258	-0.009416	0.381181	-0.346699	0.106868	-0.034264	0.484546	1.120634	-0.971500	-1.485340	0.254958	0.082021	0.535234	-1.065919	1.584779	0.126746	-0.843288	-0.067062	2.929510	-1.412786	0.773767	0.234086	-0.747875	0.370249	-1.423719	0.631641	-0.531208	-0.209188	0.600831	-2.060801	-0.493440	-1.089772	-0.446727	-0.488470	-0.852233	0.178428	-0.356283	0.592879	0.353353	
OR8K5	0.592331	0.376182	1.141992	-0.416648	0.611751	1.024630	0.031693	-0.990795	0.391380	2.009123	0.815235	-0.311106	-0.848947	2.573982	1.203629	-1.976132	0.642991	0.139768	2.276777	-0.731584	0.070533	0.212381	0.529850	1.161412	0.877716	1.039828	-0.403138	-2.322309	0.420087	0.302725	-0.204720	0.718137	-0.004613	-0.536543	0.154122	-0.193744	-0.761136	-0.686835	0.647213	-0.586359	-0.466463	2.211763	-0.489260	-0.109310	0.585576	-0.962932	-1.327684	-0.198810	0.677609	-0.587203	0.678453	0.559402	0.492700	-2.520727	0.511275	-0.471529	-1.102247	0.111905	-0.822772	0.351696	0.187895	0.570378	0.204782	1.267798	0.497766	0.956239	0.187895	-1.512593	-0.017278	-0.944356	0.154122	-0.836282	-3.932453	0.035071	-1.534546	0.761198	-0.587203	-0.035853	-0.196277	-0.944356	1.152969	1.135238	0.499454	0.173542	-0.860767	-1.023724	-0.323771	0.295970	-0.184456	-0.881031	0.008896	-0.386565	
C3orf49	-1.224693	-0.674537	-0.184857	0.861699	0.651716	-0.247852	1.136356	-2.223372	1.773025	1.943531	-0.379721	0.734029	0.338421	1.035565	-0.177297	-0.300767	0.130118	-0.812286	1.076721	0.069643	0.043605	-0.277249	0.451812	0.962491	1.774705	1.220350	0.193953	0.633237	0.387137	-0.926517	0.328342	-0.105903	-0.024430	0.297264	-0.293208	-0.837484	0.878497	-0.036189	-1.036548	-0.525869	-0.425077	-0.270530	-0.138661	-0.419198	-0.540148	0.336741	0.808783	0.010007	0.449292	-1.028989	0.281306	-0.161339	-1.382600	-0.902159	1.054883	0.466931	2.156034	-1.543027	-0.456995	0.043605	-0.131941	-0.850083	-0.003431	0.843220	-1.929396	-1.455674	-0.450275	-3.180895	0.807103	0.469450	0.148596	-0.940796	-0.419198	0.799544	-0.533429	0.612239	-1.024789	2.232468	-0.123542	0.324142	-0.695536	-0.518310	2.041803	2.136716	-0.057187	-0.305807	0.395536	-0.573745	0.102400	-3.085143	0.702951	-0.309285	
TTTY8	0.152288	1.430259	-0.644024	-0.272896	0.524222	-0.203511	2.098289	0.799341	1.164822	-0.450392	0.051438	2.738888	1.261638	1.430259	-0.126865	1.045415	-0.635149	-0.988527	0.729956	1.022825	-1.603309	0.262819	-1.541185	2.391964	-0.063935	0.907452	1.121254	-1.079696	-1.123263	-0.130092	-2.201148	0.003030	-0.314849	0.475008	-1.153921	-0.366485	0.042563	-0.229329	-0.279350	0.087744	0.291057	0.198275	-0.100241	-0.034890	-0.556083	0.978451	-1.206363	-0.477016	-1.272521	0.973610	-0.616593	-0.436676	0.902612	0.682355	-1.124070	-0.510902	0.232161	0.310421	-0.948187	-0.232556	-0.206738	-1.031288	-1.526663	-2.285862	0.544392	-1.581525	-0.151876	-0.558503	0.055472	-0.005845	-0.736806	1.026052	3.064835	-0.602070	-1.207170	-0.234976	1.268899	-0.255953	-0.005038	-0.308395	0.216832	-0.114763	-0.646444	-0.351155	1.082528	1.173696	0.917941	1.661004	-0.773112	-0.996595	-0.535106	-0.282160	
NLRP10	0.283941	-2.895525	0.942933	-1.401659	0.613814	0.927836	0.972372	-0.148593	1.034271	0.724779	-1.517907	-2.535457	0.537574	0.515683	0.438687	-0.569050	0.169957	-0.087450	-0.726815	1.486431	-0.327495	0.140033	0.212229	-0.388638	2.676089	0.550406	-0.453556	0.346594	0.006153	0.233365	0.016721	0.360182	0.253747	-0.375051	1.122589	0.794226	1.454727	0.127685	-0.607547	-0.981957	-1.404678	-0.423362	-1.338251	0.669674	-1.119342	-0.981957	-0.870993	-0.493564	-0.007435	-0.806830	1.011625	-0.135761	1.333950	-2.745308	0.431138	1.973315	0.058993	-0.008189	-0.556217	0.573052	-0.226344	-0.654349	-0.590186	-2.094619	-1.537534	-0.545649	0.173732	0.497566	0.055974	-0.220305	0.482469	0.754973	1.182978	-0.233892	-0.310133	0.499831	-1.263520	-2.770973	0.563239	0.684016	0.754218	0.299038	0.390376	0.367730	0.800264	0.557955	0.061258	0.068051	0.306587	0.073141	1.807246	0.980676	
TAS2R49	0.840896	-2.285350	-0.091259	-1.291312	-0.015277	1.180075	0.948995	-1.823188	-0.869100	0.676398	-0.415555	0.261236	-0.133559	1.647720	0.406151	-0.829150	0.493100	1.746419	-2.182734	-0.083426	-0.334873	-3.780715	0.858129	1.149526	0.055222	0.826796	1.046910	-0.589453	-0.410855	-0.512688	0.281603	0.276120	-0.813484	0.422601	-0.489188	-0.198575	-0.536971	0.622349	0.308236	0.327036	-0.413989	0.219720	-1.020281	0.489967	0.104572	0.497017	-1.209846	0.079505	-1.647724	-0.719485	-1.245095	0.134338	0.366985	-0.483705	0.632532	0.228337	-0.211891	-0.207191	-1.465209	0.610599	-0.231474	-1.088431	-0.327823	0.408501	1.433872	0.546366	-0.445322	1.494188	-0.601986	-0.464121	-0.931766	-0.879283	0.275336	1.762085	-0.495454	0.660732	1.050044	-1.738589	0.410068	0.854996	-0.368556	-0.308240	-0.301190	-0.830717	1.549804	1.278774	1.264674	0.749247	0.751597	0.775880	2.670741	-0.351918	
LHCGR	-0.571415	2.433156	0.587973	-0.395639	-0.238079	-1.438450	-0.549557	-1.043184	-0.731707	-0.222597	1.408560	2.673594	1.680875	-0.438445	-0.291814	-0.479429	0.509648	-0.085073	0.074308	0.426769	1.566120	-1.946650	-0.052286	-0.608755	-0.698920	1.904009	0.739157	-0.434802	0.535149	0.108006	0.529684	0.097988	0.902182	-0.041357	-0.214400	0.279228	-1.567777	0.776498	-0.367406	0.509648	-0.845551	-1.726248	-0.079609	-1.573242	-1.163403	-0.365585	1.278322	-0.052286	0.679958	-0.868320	-1.521329	-0.060483	0.914932	-0.984896	0.052450	-0.161576	-1.948471	0.549721	1.087065	0.656279	0.307461	-0.044089	-0.643364	-0.355566	-2.141551	0.872127	-0.453928	0.725496	-0.417498	0.370303	1.384880	-0.034982	0.265566	0.428591	-2.461225	-1.536812	0.445895	0.226404	0.036968	-1.762678	-0.679794	0.120757	0.474129	-0.004927	1.620765	1.855739	1.599818	0.818393	-0.323690	0.384875	0.120757	-0.391361	
NMBR	-1.590638	-0.209124	-1.354668	-0.840052	0.773249	1.581573	1.860219	-0.014155	0.029357	2.560599	0.323901	0.617894	0.063665	-0.595714	0.822619	1.630106	-0.263514	0.592506	1.777378	1.520489	1.514631	-0.435053	-1.813220	0.697939	1.661067	-1.317013	0.692082	-0.006625	0.292104	0.570750	-0.645920	-0.655961	0.487072	0.400885	-0.295312	-0.854277	0.006764	0.175792	0.133954	1.148961	-0.278576	0.555688	-0.077750	0.587485	0.010948	-0.994018	1.295396	-0.385683	-0.035912	1.379911	0.420130	-0.228370	-0.855950	-0.096996	0.927216	0.357372	-0.492790	-0.391541	-0.148876	-0.256820	0.818435	0.120565	0.479541	0.162404	-2.137889	0.339800	-0.729598	-0.509526	0.180813	-0.406603	0.250265	0.748146	-0.431706	-1.133760	-1.278522	-0.173979	0.437703	-0.471034	0.357372	-0.197409	-0.640063	-0.084445	-1.014101	-0.458483	0.668652	-0.250126	0.734758	-2.305244	-0.239248	0.751493	-4.300114	-1.623273	
RLBP1L2	-0.826158	1.000625	-0.394361	-0.433020	0.357188	-1.963638	0.462680	0.481682	0.386018	-0.366186	0.277905	-1.538394	-0.488714	2.262599	-0.364876	1.210298	-0.263970	-0.266591	0.712978	0.163240	0.161274	1.288271	-1.198329	-0.024811	-1.489252	1.725965	-0.085748	-0.555548	-2.082890	-0.363565	-0.255452	0.671699	-0.417950	-0.013017	-0.025466	0.431884	-0.014328	-0.733115	-0.042502	0.138996	-1.353619	-0.490025	-0.039882	0.113442	-0.262005	0.444989	1.699756	-1.124288	0.021055	-1.333962	-0.058228	-0.629589	0.008606	-1.190466	-0.150615	0.388639	0.619280	0.001398	-0.843194	0.107545	-0.758669	-0.053641	-1.170154	-0.727218	0.741153	-0.239727	0.703805	1.079252	-0.042502	0.314598	-0.472989	0.788985	2.528622	-0.313768	-0.824192	-0.497232	0.995383	-0.293456	-0.661695	4.840276	0.000743	0.423366	-1.719893	-0.370118	-0.474491	-0.172238	-0.274454	1.531361	1.581159	0.848611	0.551136	-1.316271	
UNC5D	-1.109665	-0.313962	-0.072736	-1.197124	1.155116	0.648656	1.677011	-0.959899	-1.289156	0.295391	-0.265374	0.013008	-0.229362	0.900171	-0.155622	1.042506	-0.261674	1.709593	-3.281844	0.736114	-0.895306	1.309455	-0.506600	0.979055	0.974482	1.652431	0.877306	-1.044500	-0.794700	0.446300	0.465735	1.185984	-0.504885	-0.841001	-1.169114	1.239145	-2.275210	0.401142	-0.733536	-0.174486	-1.990541	0.063311	-0.283094	-0.253942	0.505749	0.071314	1.612417	-0.088742	0.117044	-0.175629	-0.141903	0.504606	-1.130244	-0.705526	-0.140760	-0.974762	-1.784184	-0.257943	0.289675	-1.229707	-2.037986	-0.034437	-0.384844	1.403202	-0.215643	-0.204782	-0.573480	-0.239079	0.543477	-0.914169	-1.513805	-0.794128	1.705020	-0.345973	-0.648935	0.126190	1.413491	-0.967902	1.048222	0.278242	1.341466	0.541190	-0.294527	0.041589	0.560054	0.547478	0.900743	2.117163	1.042506	0.091892	1.037933	0.789847	
CNTN5	0.599760	1.023594	0.420754	0.459285	0.323626	-0.501566	-0.952692	0.493802	0.182348	0.397476	-0.596286	0.236130	0.269041	0.037859	-0.505580	-0.742381	-0.178874	0.195191	1.174504	0.366972	-3.619314	-2.309282	-1.194310	-0.586654	0.685651	-0.247105	-0.716694	-0.251921	1.133566	-0.499961	1.868854	-0.372329	0.039464	0.070770	-1.301071	0.181545	1.741222	-0.385975	-0.241486	0.456877	-1.197520	-0.295268	0.635882	0.341286	0.458482	0.268238	-0.823455	-0.276003	-0.209377	0.496210	-1.775476	-0.178874	4.846929	0.908806	0.134185	-0.109038	1.057308	-0.213391	1.695467	-1.027345	-0.049637	0.452060	0.362156	0.010567	1.299728	-0.360288	0.528318	0.706521	-0.482301	0.217667	-0.356274	0.290714	-1.612525	0.428782	1.507632	0.082008	-0.035188	-0.321758	0.179137	-1.281003	0.227300	0.472128	-0.582640	0.541965	-1.239262	-0.959917	-1.462417	1.205008	-0.605919	-0.260751	-0.434941	-0.358729	
MYO3A	0.090210	1.693066	-1.017063	0.691517	-1.536244	-0.204307	1.457074	1.244682	-0.087255	0.044900	1.162557	3.779232	0.785914	-2.269706	-0.873580	-1.008567	-0.443131	0.025077	-1.222847	-0.337407	1.304152	0.465909	-1.293645	-0.269441	-0.370445	1.423091	1.571294	-0.316639	-0.072152	0.538595	-1.234175	0.478181	0.328090	1.296600	-0.624372	0.342250	0.815177	-0.100471	-0.959481	-0.140117	0.752875	-0.622485	0.245021	0.234637	-0.268497	-0.621541	0.399831	-1.316300	-0.765967	0.404551	-0.392157	-0.471450	0.885974	-1.795835	-0.281713	0.547090	-1.215296	-0.324191	-0.871692	0.727388	-0.460122	1.542975	-0.787679	0.591457	-1.643857	1.007746	-0.176932	-0.959481	-1.884568	-0.021178	0.306379	1.014354	0.459301	1.311703	0.613168	1.035121	-1.065205	0.477237	-0.280769	0.174223	0.555586	-0.364782	2.190536	0.329034	-0.084423	-1.084084	-0.600773	0.652815	0.490452	-0.749920	-1.409753	-1.585331	
SERPINA13	0.582299	-0.428901	2.237917	-0.903511	-0.279471	-1.735565	0.375984	-3.489670	0.590790	-0.158059	0.783521	1.254735	-0.008629	1.836323	-1.474062	1.295488	0.972855	-1.221899	0.822576	-0.182681	-2.143951	-2.182157	0.820878	-0.874644	-0.159757	-0.866154	0.398908	-0.538426	0.261364	-0.328715	-0.192869	-1.329726	0.875216	0.246931	0.150141	0.122123	1.015307	0.004107	0.520320	-0.406826	0.803048	0.716447	0.166273	-0.634367	-0.967189	1.734439	-0.570689	-0.093532	0.059294	-0.788042	0.807294	0.357305	0.589941	-3.053267	1.475484	0.589092	-0.628424	-1.065677	0.561923	-0.009478	0.637487	-2.283192	0.060143	1.227566	0.095803	0.607770	1.376996	0.518622	0.027880	0.252874	0.388720	-0.732006	0.482113	0.134858	0.015144	0.229950	-0.390694	0.714749	0.291081	-0.412769	1.085777	-0.428052	0.049106	-0.417863	-0.214944	1.127380	-0.539275	-1.839147	0.984742	0.357305	0.556828	-0.276938	
